CQI,Min_SNR_dB,Modulation,Code_Rate,Spectral_Eff,BLER_target
1,-6.7,QPSK,0.076,0.15,1e-01
2,-4.7,QPSK,0.117,0.23,8e-02
3,-2.3,QPSK,0.188,0.38,5e-02
4,0.2,QPSK,0.301,0.60,3e-02
5,2.4,QPSK,0.438,0.88,2e-02
6,4.3,QPSK,0.588,1.18,1e-02
7,5.9,16QAM,0.369,1.48,5e-03
8,8.1,16QAM,0.479,1.91,2e-03
9,10.3,16QAM,0.602,2.41,1e-03
10,11.7,64QAM,0.455,2.73,5e-04
11,14.1,64QAM,0.554,3.32,2e-04
12,16.3,64QAM,0.650,3.90,1e-04
13,18.7,64QAM,0.754,4.52,5e-05
14,21.0,64QAM,0.853,5.12,2e-05
15,22.7,64QAM,0.926,5.55,1e-05
