Q,drift_BASE,drift_BOOST,mode,stable
0,3.76,46.959999999999994,BASE,False
1,2.5599999999999996,33.76,BASE,False
2,1.3599999999999997,20.559999999999995,BASE,False
3,0.15999999999999948,7.359999999999999,BASE,False
4,-1.0400000000000007,-5.840000000000003,BASE,True
5,-2.240000000000001,-19.040000000000006,BASE,True
6,-3.4400000000000013,-32.23999999999999,BOOST,True
7,-4.6400000000000015,-45.43999999999999,BOOST,True
8,-5.840000000000001,-58.63999999999999,BOOST,True
9,-7.04,-71.84,BOOST,True
10,-8.240000000000002,-85.03999999999999,BOOST,True
11,-9.440000000000003,-98.23999999999998,BOOST,True
12,-10.640000000000002,-111.43999999999997,BOOST,True
13,-11.840000000000002,-124.63999999999999,BOOST,True
14,-13.040000000000004,-137.83999999999997,BOOST,True
15,-14.240000000000004,-151.04,BOOST,True
16,-15.440000000000003,-164.23999999999998,BOOST,True
17,-16.640000000000004,-177.43999999999997,BOOST,True
18,-17.840000000000003,-190.64,BOOST,True
19,-19.040000000000006,-203.83999999999997,BOOST,True
20,-20.240000000000006,-217.04000000000002,BOOST,True
21,-21.440000000000005,-230.24,BOOST,True
22,-22.640000000000008,-243.44,BOOST,True
23,-23.840000000000007,-256.64,BOOST,True
24,-25.040000000000006,-269.84,BOOST,True
25,-26.240000000000006,-283.04,BOOST,True
26,-27.440000000000005,-296.24,BOOST,True
27,-28.640000000000008,-309.44,BOOST,True
28,-29.84000000000001,-322.64,BOOST,True
29,-31.040000000000006,-335.84,BOOST,True
30,-32.24000000000001,-349.04,BOOST,True
31,-33.440000000000005,-362.24,BOOST,True
32,-34.64000000000001,-375.44,BOOST,True
33,-35.84000000000001,-388.64,BOOST,True
34,-37.040000000000006,-401.84,BOOST,True
35,-38.24000000000001,-415.04,BOOST,True
36,-39.440000000000005,-428.24,BOOST,True
37,-40.64000000000001,-441.44,BOOST,True
38,-41.84000000000001,-454.64,BOOST,True
39,-43.040000000000006,-467.84,BOOST,True
40,-44.24000000000001,-481.04,BOOST,True
41,-45.44000000000001,-494.23999999999995,BOOST,True
42,-46.64000000000001,-507.44,BOOST,True
43,-47.84000000000001,-520.6400000000001,BOOST,True
44,-49.04000000000001,-533.84,BOOST,True
45,-50.24000000000001,-547.0400000000001,BOOST,True
46,-51.44000000000001,-560.24,BOOST,True
47,-52.64000000000001,-573.44,BOOST,True
48,-53.84000000000001,-586.64,BOOST,True
49,-55.04000000000001,-599.84,BOOST,True
